id,dense,gdpp
bj,1167.40,93213
tj,1144.46,99607
hb,382.81,38716
sx,228.48,34813
im,20.88,67498
ln,299.83,61687
jl,146.54,47191
hlj,84.38,37509
sh,3630.20,90092
js,766.66,74607
zj,533.59,68462
ah,425.91,31684
fj,304.15,57856
jx,266.87,31771
sd,622.84,56323
hn,563.01,34174
hub,307.89,42613
hun,312.77,36763
gd,579.46,58540
gx,195.02,30588
han,255.04,35317
cq,350.50,42795
sc,165.81,32454
gz,197.42,22922
yn,116.66,25083
tb,2.44,26068
snx,181.55,42692
gs,56.29,24297
qh,7.80,36510
nx,94.89,39420
xj,13.13,37181
hk,6396.01,236107
mc,19044.82,565920
tw,650.34,238931
